Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R4,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,146.2,-36.9,-90.0,top
R5,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,140.3,-56.0,0.0,top
R6,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,137.5,-52.0,90.0,top
R7,3.3k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,143.0,-44.5,0.0,top
R8,22,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,121.0,-45.0,0.0,top
R9,22,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,121.0,-44.0,180.0,top
R10,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,126.3,-58.4,90.0,top
R11,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,127.3,-58.3,90.0,top
R12,75,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,135.0,-43.3,180.0,bottom
R13,75,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,121.3,-35.6,0.0,bottom
TP1,TestPoint,SolderPad_2.5x2.5,120.5,-65.0,0.0,top
TP2,TestPoint,SolderPad_2.5x2.5,124.0,-65.0,0.0,top
TP3,TestPoint,SolderPad_2.5x2.5,146.0,-45.5,0.0,bottom
TP4,TestPoint,SolderPad_2.5x2.5,146.0,-42.5,0.0,bottom
TP5,TestPoint,SolderPad_2.5x2.5,146.0,-48.5,0.0,bottom
TP6,TestPoint,SolderPad_2.5x2.5,146.0,-54.5,0.0,bottom
TP7,TestPoint,SolderPad_2.5x2.5,128.2198,-61.5701,0.0,top
TP8,TestPoint,SolderPad_2.5x2.5,131.7198,-61.5701,0.0,top
TP9,TestPoint,SolderPad_2.5x2.5,114.0,-59.5,0.0,top
TP10,TestPoint,SolderPad_2.5x2.5,114.0,-63.0,0.0,top
TP11,TestPoint,SolderPad_2.5x2.5,145.9,-61.5,0.0,top
TP12,TestPoint,SolderPad_2.5x2.5,145.9,-58.5,0.0,top
TP13,TestPoint,SolderPad_2.5x2.5,114.0,-37.5,0.0,top
TP14,TestPoint,SolderPad_2.5x2.5,114.0,-40.5,0.0,top
TP15,TestPoint,SolderPad_2.5x2.5,135.5,-65.0,0.0,top
TP16,TestPoint,SolderPad_2.5x2.5,139.0,-65.0,0.0,top
TP17,TestPoint,SolderPad_2.5x2.5,142.5,-65.0,0.0,top
TP18,TestPoint,SolderPad_2.5x2.5,146.0,-39.5,0.0,bottom
TP19,TestPoint,SolderPad_2.5x2.5,127.5,-65.0,0.0,top
TP20,TestPoint,SolderPad_2.5x2.5,135.2198,-61.5701,0.0,top
TP21,TestPoint,SolderPad_2.5x2.5,132.0,-65.0,0.0,top
TP22,TestPoint,SolderPad_2.5x2.5,146.0,-51.5,0.0,bottom
TP23,TestPoint,SolderPad_2.5x2.5,117.0,-65.0,0.0,top
TP24,TestPoint,SolderPad_2.5x2.5,125.0,-61.5,0.0,top
TP25,TestPoint,SolderPad_2.5x2.5,132.5,-48.0,0.0,bottom
TP26,TestPoint,SolderPad_2.5x2.5,114.0,-56.0,0.0,top
TP27,TestPoint,SolderPad_2.5x2.5,114.0,-34.5,0.0,top
TP28,TestPoint,SolderPad_2.5x2.5,114.0,-43.5,0.0,top
TP29,TestPoint,SolderPad_2.5x2.5,126.5,-48.0,0.0,bottom
TP30,TestPoint,SolderPad_2.5x2.5,129.5,-48.0,0.0,bottom
TP31,TestPoint,SolderPad_2.5x2.5,114.0,-40.5,0.0,bottom
TP32,TestPoint,SolderPad_2.5x2.5,114.0,-37.5,0.0,bottom
U1,STM32F405RGTx,LQFP-64_10x10mm_P0.5mm,129.2,-49.4,135.0,top
U2,TPS5420D,SOIC-8_3.9x4.9mm_P1.27mm,140.754,-48.0584,0.0,top
U3,BMP280,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,125.5,-40.9,-45.0,top
U4,LIS3DH,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,141.0,-53.6,0.0,top
U5,MMA8452QR1,QFN-16_0.5MM,123.4,-55.8,-45.0,top
U6,XC6219B332MR,SOT-23-5,115.5,-49.5,0.0,top
U7,LIS3MDL,LGA-12_2x2mm_P0.5mm,129.3,-58.5,90.0,top
U8,AT7456,TSSOP-28_4.4x9.7mm_P0.65mm,129.9,-37.5,0.0,bottom
Y1, 	CSTCE8M00G52-R0,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,134.1,-56.2,45.0,top
Y3,Crystal_GND24,Crystal_SMD_2016-4Pin_2.0x1.6mm,135.5,-36.8,0.0,bottom
